severity,category,question_external_id,topic_slug,difficulty,format,source_type,source_ref,detail,stem
medium,duplicate_stem,changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q003,changes-in-employment-opportunities-skills-requirements-and-work-practices,medium,mcq,adapted_exam,"2021 Q11 (Job Displacement), already auto-markable","Same stem appears 2 times: changes-in-employment-opportunities-skills-requirements-and-work-practices.past_paper.topics_10_11_12.q003, digital-applications.past_paper.topics_10_11_12.q004.","Match the term to the correct definition

Options"
medium,duplicate_stem,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.expert_balancing_2026_05.q001,changes-in-employment-opportunities-skills-requirements-and-work-practices,medium,match_table,new_original,supplementary medium balancing item based on employment/work-practices key terms,"Same stem appears 2 times: changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.expert_balancing_2026_05.q001, software.practice_bank.expert_balancing_2026_05.q005.",Match each description to the correct term.
medium,phrase_exact_marking,computer-hardware.past_paper.topics_05_06.q007,computer-hardware,medium,short_text,adapted_exam,"2019 Q5(a)(i), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Refer to John's computer specification (Windows 10; Intel Core i7-8700; 3.2/4.6 GHz; 12 MB cache; 16 GB DDR4; 2 TB HDD; 256 GB SSD). State how much RAM the computer has.
medium,phrase_exact_marking,computer-hardware.past_paper.topics_05_06.q010,computer-hardware,medium,short_text,adapted_exam,"2019 Q5(c)(i), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Refer to the CPU components diagram. What do the letters ALU stand for?
medium,phrase_exact_marking,computer-hardware.past_paper.topics_05_06.q013,computer-hardware,medium,short_text,adapted_exam,"2021 Q5(a), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What do the letters CPU stand for?
medium,duplicate_stem,computer-hardware.past_paper.topics_05_06.q014,computer-hardware,medium,mcq,adapted_exam,"2021 Q5(b), originally 2-mark ""List two"" — converted to MCQ","Same stem appears 2 times: computer-hardware.past_paper.topics_05_06.q014, computer-hardware.past_paper.topics_05_06.q015.",Which of the following is a register used in the Fetch-Execute Cycle?
medium,phrase_exact_marking,computer-hardware.past_paper.topics_05_06.q024,computer-hardware,medium,short_text,adapted_exam,"2022 Q5(a)(i), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What type of printer can print a product in layers?
medium,phrase_exact_marking,computer-hardware.past_paper.topics_05_06.q029,computer-hardware,medium,short_text,adapted_exam,"2023 Q5(a), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What do the letters CPU stand for in relation to a computer system?
medium,phrase_exact_marking,computer-hardware.past_paper.topics_05_06.q040,computer-hardware,medium,short_text,adapted_exam,"2024 Q5(d), kept as original","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",What do the letters IAS stand for?
medium,phrase_exact_marking,computer-hardware.practice_bank.topic_05_06_hardware_networks.q027,computer-hardware,easy,short_text,new_original,"Sources: Factfile 11 Computer Hardware, Factfile Unit 1 - Computer Hardware 2","Multi-word short answer uses exact phrase matching; acceptable for key terms, but worth checking aliases.",Name the CPU component that temporarily stores programs and data while they are being used in the fetch-execute cycle.
