topic_slug,difficulty,available_for_review,approved,minimum_for_10_question_session,session_ready
changes-in-employment-opportunities-skills-requirements-and-work-practices,easy,17,17,10,yes
changes-in-employment-opportunities-skills-requirements-and-work-practices,medium,10,10,10,yes
changes-in-employment-opportunities-skills-requirements-and-work-practices,expert,10,10,10,yes
cloud-technology,easy,14,14,10,yes
cloud-technology,medium,17,17,10,yes
cloud-technology,expert,10,10,10,yes
computer-hardware,easy,30,30,10,yes
computer-hardware,medium,30,30,10,yes
computer-hardware,expert,20,20,10,yes
cyberspace-network-security-and-data-transfer,easy,36,36,10,yes
cyberspace-network-security-and-data-transfer,medium,29,29,10,yes
cyberspace-network-security-and-data-transfer,expert,23,23,10,yes
database-applications,easy,61,61,10,yes
database-applications,medium,48,48,10,yes
database-applications,expert,11,11,10,yes
digital-applications,easy,32,32,10,yes
digital-applications,medium,13,13,10,yes
digital-applications,expert,10,10,10,yes
digital-data,easy,108,108,10,yes
digital-data,medium,46,46,10,yes
digital-data,expert,23,23,10,yes
ethical-legal-and-environmental-impact,easy,19,19,10,yes
ethical-legal-and-environmental-impact,medium,25,25,10,yes
ethical-legal-and-environmental-impact,expert,10,10,10,yes
health-and-safety,easy,16,16,10,yes
health-and-safety,medium,11,11,10,yes
health-and-safety,expert,10,10,10,yes
network-technologies,easy,32,32,10,yes
network-technologies,medium,33,33,10,yes
network-technologies,expert,19,19,10,yes
software,easy,33,33,10,yes
software,medium,14,14,10,yes
software,expert,11,11,10,yes
spreadsheet-applications,easy,46,46,10,yes
spreadsheet-applications,medium,49,49,10,yes
spreadsheet-applications,expert,12,12,10,yes
