difficulty,q_no_in_difficulty,format,stem,options_json,correct_answer_json,explanation,source_type,source_ref,tags_json,qa_status,is_active
easy,1,mcq,Choose the best description of networking.,"{""choices"":[""linking devices to share data"",""storing files on one offline computer"",""using one device with no connections"",""deleting data from all devices""]}","{""choice"":""linking devices to share data""}",A network is a set of connected devices that can exchange data and resources.,adapted_exam,U1 DT 2025 Q8(d) + MS,"[""networking_definition""]",published,true
easy,2,mcq,Which option is correct for LAN?,"{""choices"":[""LAN"",""WAN"",""Intranet"",""Ring""]}","{""choice"":""LAN""}","A LAN usually serves a local site such as a school, home, or office building.",adapted_exam,U1 DT 2024 Q1(c) + MS,"[""lan""]",published,true
easy,3,mcq,Select the accurate option for WAN.,"{""choices"":[""World area network"",""LAN"",""WAN"",""Wired applications network""]}","{""choice"":""WAN""}","A WAN spans large distances, often connecting sites in different towns or countries.",adapted_exam,U1 DT 2024 Q1(b) + MS,"[""wan""]",published,true
easy,4,mcq,Choose the best description of internet.,"{""choices"":[""private organisational network"",""single network in one building"",""global network of networks"",""collection of linked web pages""]}","{""choice"":""global network of networks""}",The internet links many networks together worldwide.,adapted_exam,U1 DT 2025 Q8(b) + MS,"[""internet_definition""]",published,true
easy,5,mcq,Which option is correct for World Wide Web?,"{""choices"":[""collection of linked web pages on web servers"",""global physical cable backbone"",""private internal staff network"",""device-to-device short-range link""]}","{""choice"":""collection of linked web pages on web servers""}",The web is one service that runs on the internet and provides linked pages.,adapted_exam,U1 DT 2025 Q8(b) + MS,"[""www_definition""]",published,true
easy,6,mcq,Select the accurate option for internet vs world wide web.,"{""choices"":[""internet is network; web is application"",""internet is only email"",""web is hardware"",""both terms mean exactly the same""]}","{""choice"":""internet is network; web is application""}",The internet is the infrastructure; the web is one service that uses it.,adapted_exam,U1 DT 2025 Q8(c) + MS,"[""internet_vs_www""]",published,true
easy,7,mcq,Choose the best description of intranet.,"{""choices"":[""private organisational network"",""large geographical network"",""global public network"",""wireless headset pairing""]}","{""choice"":""private organisational network""}",An intranet is restricted to authorised people inside an organisation.,adapted_exam,U1 DT 2019 Q6(a)(iii) + MS,"[""intranet""]",published,true
easy,8,mcq,Which option is correct for IoT?,"{""choices"":[""only social media accounts"",""physical devices connected to the internet"",""only desktop computers"",""printed barcodes on paper""]}","{""choice"":""physical devices connected to the internet""}",IoT refers to connected physical devices such as sensors and smart home equipment.,adapted_exam,U1 DT 2025 Q8(a) + MS,"[""iot""]",published,true
easy,9,mcq,Select the accurate option for Wi-Fi.,"{""choices"":[""short-range personal pairing only"",""wireless network access in homes/schools"",""main cable in a bus network"",""light-based long-distance cable system""]}","{""choice"":""wireless network access in homes/schools""}",Wi-Fi provides wireless access to a local network and internet.,adapted_exam,U1 DT 2023 Q6(a) + MS,"[""wifi""]",published,true
easy,10,mcq,Choose the best description of Bluetooth.,"{""choices"":[""global network of networks"",""main cable in a bus topology"",""short-range wireless technology"",""long-distance fixed cable backbone""]}","{""choice"":""short-range wireless technology""}",Bluetooth is commonly used for links such as phone-to-headphones or watch-to-phone.,adapted_exam,U1 DT 2025 Q8(c) + MS,"[""bluetooth""]",published,true
easy,11,mcq,Which option is correct for optical fibre?,"{""choices"":[""light signals"",""audio waves"",""electrical signals"",""magnetic tape""]}","{""choice"":""light signals""}",Fibre-optic cables use pulses of light to carry data.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_signals""]",published,true
easy,12,mcq,Select the accurate option for optical fibre bandwidth.,"{""choices"":[""no data capacity"",""text only"",""very low bandwidth"",""high bandwidth""]}","{""choice"":""high bandwidth""}",Fibre is designed to carry large amounts of data quickly.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_bandwidth""]",published,true
easy,13,mcq,Choose the best description of optical fibre interference.,"{""choices"":[""cannot carry data"",""wireless only"",""more susceptible to interference"",""less susceptible to interference""]}","{""choice"":""less susceptible to interference""}",Fibre is less affected by electromagnetic interference than copper cables.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_interference""]",published,true
easy,14,mcq,Which option is correct for optical fibre security?,"{""choices"":[""easier to intercept than copper"",""always publicly broadcast"",""cannot be made secure"",""harder to intercept than copper""]}","{""choice"":""harder to intercept than copper""}",Fibre is typically harder to tap without detection than copper cabling.,adapted_exam,U1 DT 2022 Q8(d) + MS,"[""optical_fibre_security""]",published,true
easy,15,mcq,Select the accurate option for best medium while travelling.,"{""choices"":[""Bluetooth"",""Fibre-optic"",""5G"",""Wi-Fi""]}","{""choice"":""5G""}",Mobile broadband such as 5G is used when travelling away from fixed networks.,adapted_exam,U1 DT 2023 Q6(a) + MS,"[""mobile_5g""]",published,true
easy,16,mcq,Choose the best description of NIC purpose.,"{""choices"":[""connect to and communicate on a network"",""prints paper documents"",""creates topology diagrams"",""stores shared files""]}","{""choice"":""connect to and communicate on a network""}",A network interface card provides the hardware interface for network access.,adapted_exam,U1 DT 2023 Q7(e) + MS,"[""nic""]",published,true
easy,17,mcq,Which option is correct for switch function?,"{""choices"":[""creates wireless signals only"",""connects devices in a lan and forwards data"",""stores files for all users"",""connects countries globally""]}","{""choice"":""connects devices in a lan and forwards data""}","A switch operates inside a LAN, sending traffic to the correct destination.",adapted_exam,U1 DT 2021 Q6(1) + MS,"[""switch""]",published,true
easy,18,mcq,Select the accurate option for router function.,"{""choices"":[""connects networks and routes packets"",""joins nodes to one backbone cable"",""stores documents centrally"",""acts as a workstation""]}","{""choice"":""connects networks and routes packets""}","Routers direct traffic between networks, including between a LAN and the internet.",adapted_exam,"U1 DT 2021 Q6(2), 2023 Q6(b) + MS","[""router""]",published,true
easy,19,mcq,Choose the best description of file server purpose.,"{""choices"":[""stores shared files for network users"",""routes internet packets"",""pairs bluetooth accessories"",""ends a bus cable""]}","{""choice"":""stores shared files for network users""}",A file server gives centralised access to shared resources in a network.,adapted_exam,U1 DT 2021 Q6(1) + MS,"[""file_server""]",published,true
easy,20,mcq,Which option is correct for wired LAN setup?,"{""choices"":[""single global internet cable"",""wireless-only satellite link"",""wired connection to switch"",""social media platform""]}","{""choice"":""wired connection to switch""}","In wired LANs, Ethernet cabling links network devices to switches.",adapted_exam,U1 DT 2023 Q6(b) + MS,"[""ethernet_switch""]",published,true
easy,21,mcq,Select the accurate option for network advantages.,"{""choices"":[""removes all failures"",""eliminates all maintenance"",""prevents updates"",""share files hardware and communication""]}","{""choice"":""share files hardware and communication""}",Typical network benefits are resource sharing and easier collaboration.,adapted_exam,"U1 DT 2019 Q6(a)(ii), 2025 Q8(d) + MS","[""network_advantages""]",published,true
easy,22,mcq,Choose the best description of bus topology structure.,"{""choices"":[""nodes connect in a closed ring"",""all nodes connect to central switch"",""every node connects to every node"",""all nodes connect to one backbone cable""]}","{""choice"":""all nodes connect to one backbone cable""}",Bus topology uses one main cable shared by all connected nodes.,adapted_exam,"U1 DT 2023 Q7(b)(i), Q7(c) + MS","[""bus_topology""]",published,true
easy,23,mcq,Which option is correct for bus topology disadvantages?,"{""choices"":[""no collisions occur"",""one cable fault affects only one workstation"",""performance always improves with more nodes"",""if backbone cable fails network fails""]}","{""choice"":""if backbone cable fails network fails""}",A single backbone fault can stop communication for the whole bus network.,adapted_exam,U1 DT 2023 Q7(b)(ii) + MS,"[""bus_disadvantage""]",published,true
easy,24,mcq,Select the accurate option for backbone.,"{""choices"":[""main cable in bus network"",""central server in star"",""wireless hotspot"",""ring token""]}","{""choice"":""main cable in bus network""}",All devices in a bus topology connect to the backbone cable.,adapted_exam,"U1 DT 2023 Q7(b)(iii), 2025 Q13 + MS","[""backbone""]",published,true
easy,25,mcq,Choose the best description of terminator purpose.,"{""choices"":[""stores user files"",""converts bus to ring"",""stop signal bounce on bus cable"",""increases bluetooth range""]}","{""choice"":""stop signal bounce on bus cable""}",Terminators absorb signals at cable ends to reduce distortion and data loss.,adapted_exam,U1 DT 2023 Q7(b)(iii) + MS,"[""terminator""]",published,true
easy,26,mcq,Which option is correct for ring topology?,"{""choices"":[""all devices share one backbone only"",""no cables are used"",""all devices connect to central switch"",""data passes from one node/workstation to another""]}","{""choice"":""data passes from one node/workstation to another""}",Ring topology sends data around the loop via each connected node.,adapted_exam,"U1 DT 2023 Q7(c), 2022 Q7(a) + MS","[""ring_topology""]",published,true
easy,27,mcq,Select the accurate option for star topology structure.,"{""choices"":[""no central device is used"",""devices share one backbone cable"",""all devices connect to central server/switch/hub"",""devices connect in one circle""]}","{""choice"":""all devices connect to central server/switch/hub""}",Star networks use a central point with separate links to each workstation.,adapted_exam,"U1 DT 2019 Q6(d)(i), 2024 Q6(a) + MS","[""star_topology""]",published,true
easy,28,mcq,Choose the best description of star advantage.,"{""choices"":[""new workstations cannot be added"",""if one workstation fails others can continue"",""one workstation failure stops all devices"",""star has no performance benefits""]}","{""choice"":""if one workstation fails others can continue""}",Separate links mean faults are often isolated to one device connection.,adapted_exam,"U1 DT 2024 Q6(a), 2019 Q6(d)(ii) + MS","[""star_advantage""]",published,true
easy,29,mcq,Which option is correct for name of backbone topology?,"{""choices"":[""wan"",""ring"",""star"",""bus""]}","{""choice"":""bus""}",Bus topology is identified by a shared backbone cable.,adapted_exam,U1 DT 2023 Q7(b)(i) + MS,"[""topology_bus_name""]",published,true
easy,30,mcq,Which option correctly matches this task: phone to wireless headphones?,"{""choices"":[""Fibre-optic"",""Bluetooth"",""5G"",""Wi-Fi""]}","{""choice"":""Bluetooth""}",Bluetooth is the expected short-range medium for personal peripherals.,adapted_exam,U1 DT 2023 Q6(a) + MS,"[""media_headphones""]",published,true
easy,31,fill_gap,Fill the gap: A ____ covers a small geographical area such as one building.,null,"{""accepted"":[""LAN"",""local area network""]}","A LAN usually serves a local site such as a school, home, or office building.",adapted_exam,U1 DT 2024 Q1(c) + MS,"[""lan""]",published,true
easy,32,fill_gap,Fill the gap: A ____ connects networks across a large geographical area.,null,"{""accepted"":[""WAN"",""wide area network""]}","A WAN spans large distances, often connecting sites in different towns or countries.",adapted_exam,U1 DT 2024 Q1(b) + MS,"[""wan""]",published,true
