teacher_decision,teacher_comment,row_number,question_external_id,topic_slug,topic_title,difficulty,format,adaptive_tier,review_priority,review_flags,staging_status,source_kind,source_file_name,source_locator,objective_codes,question_family_code,selection_weight,asset_count,assets,stem,options_or_prompt,correct_answer,markscheme_points,explanation,teacher_notes,tags,max_marks,dedupe_fingerprint
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,832,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q001,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.new-ict-job-roles,changes-in-employment-opportunities-skills-requirements-and-work-practices.new-job-role.choose,1.0,0,,Which of the following is a NEW job role created by the introduction of ICT?,A. Filing clerk | B. Factory floor worker | C. Software engineer | D. Postman,C. Software engineer,C,The correct option is Software engineer. This question checks whether you can recognise new job roles created by digital technology.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,f9632960df67970e
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,833,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q002,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.job-displacement-and-automation,changes-in-employment-opportunities-skills-requirements-and-work-practices.describes-job-displacement.choose,1.0,0,,Which of the following best describes job displacement?,A. Workers being relocated to a different office | B. Job roles disappearing because they have been replaced by ICT | C. Workers being promoted to a higher position | D. Employees taking on more than one role,B. Job roles disappearing because they have been replaced by ICT,B,The correct option is Job roles disappearing because they have been replaced by ICT. This question checks whether you can explain how automation and digital technology can remove or change jobs.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,16f12657c0be7ba9
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,834,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q003,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.teleworking,changes-in-employment-opportunities-skills-requirements-and-work-practices.teleworking-multiple-choice.choose,1.0,0,,What is teleworking?,A. Working in a call centre answering telephone calls | B. Working from home using ICT | C. Working only on a mobile telephone | D. Selling products by telephone to customers,B. Working from home using ICT,B,"The correct option is Working from home using ICT. This question checks whether you can explain advantages, disadvantages and requirements of teleworking.",First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,f0eb27b4ce7f7ab5
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,835,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q004,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.job-roles-has.choose,1.0,0,,Which of the following job roles has been largely displaced by databases and spreadsheets?,A. Network manager | B. Web designer | C. Filing clerk | D. App developer,C. Filing clerk,C,The correct option is Filing clerk. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,faa34cda36b291a2
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,836,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q005,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.according-fact-file.choose,1.0,0,,"According to the fact file, which industry typically operates 24 hours a day to allow customers to report a lost phone or bank card at any time?",A. Call centres | B. Schools | C. Supermarkets | D. Web design agencies,A. Call centres,A,The correct option is Call centres. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,d43205b2db12db6c
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,837,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q006,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.main-reason-employees.choose,1.0,0,,What is the main reason employees need upskilling?,A. Because their salary increases each year | B. Because ICT is constantly evolving with new hardware and software being released | C. Because they want to change jobs | D. Because they want to work shorter hours,B. Because ICT is constantly evolving with new hardware and software being released,B,The correct option is Because ICT is constantly evolving with new hardware and software being released. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,5ac252bb820ad2e6
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,838,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q007,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.job-displacement-and-automation,changes-in-employment-opportunities-skills-requirements-and-work-practices.manufacturing-factory-has.choose,1.0,0,,"In a manufacturing factory, which of the following has replaced human workers on the factory floor?",A. Spreadsheets | B. Computer-controlled robots | C. Filing clerks | D. Network managers,B. Computer-controlled robots,B,The correct option is Computer-controlled robots. This question checks whether you can explain how automation and digital technology can remove or change jobs.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,74c96250fb9b412d
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,839,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q008,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.training-and-skills-development,changes-in-employment-opportunities-skills-requirements-and-work-practices.given-fact-file.choose,1.0,0,,Which of the following is given in the fact file as an example of a portable device used by employees?,A. Filing cabinet | B. Tablet | C. Whiteboard | D. Office desk,B. Tablet,B,The correct option is Tablet. This question checks whether you can explain the need for retraining and new digital skills in the workplace.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,e46e04a6586bc9f7
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,840,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q009,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,mcq,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.new-ict-job-roles,changes-in-employment-opportunities-skills-requirements-and-work-practices.example-new-job.choose,1.0,0,,"Which of the following is an example of a NEW job role in the ICT sector that grew with web design, app development and social media?",A. Filing clerk | B. App developer | C. Factory floor worker | D. Cashier,B. App developer,B,The correct option is App developer. This question checks whether you can recognise new job roles created by digital technology.,First-pass explanation generated from answer and mapped objective; review before approval.,multiple-choice,1,5e4338c123a74519
approve,Owner approved full reviewed bank for technical import preparation on 2026-05-04.,841,changes-in-employment-opportunities-skills-requirements-and-work-practices.practice_bank.topic_09_12_wider_impact.q010,changes-in-employment-opportunities-skills-requirements-and-work-practices,"Changes in employment opportunities, skills requirements and work practices",easy,true_false,support,medium,practice_question_needs_source_normalization,ready_for_review,practice_bank,topic_09_12_wider_impact.md,"Sources: Factfile 20 Changes in employment opportunities, skills, requirements and work practices",changes-in-employment-opportunities-skills-requirements-and-work-practices.work-patterns-and-flexibility,changes-in-employment-opportunities-skills-requirements-and-work-practices.true-false-teleworking.identify,1.0,0,,True or False: Teleworking allows employees to work flexible hours.,,True,True,"The statement is true. This question checks whether you can explain how digital technology changes working hours, location and work patterns.",First-pass explanation generated from answer and mapped objective; review before approval.,true-false,1,d550940f512831d7
